-00:00:01  >> HELLO, EVERYONE, WE'RE LOCATING THE SPEAKER SO
01:09:55   IS I CAN MAKE A SINGLE FUNCTION CALL HERE TO
01:09:59   T.F., AND SO T.F. IS THIS LIBRARY THAT SAYS GIVE
01:10:03   ME THE POSITION FROM A TO B, SO FOR A MARKER IN
01:10:06   THE SCENE, ALL THE WAY TO THE ROBOT, SINGLE
01:10:08   FUNCTION CALL TO NOTE THE POSITION DIFFERENCE.
01:10:12   SO IN PYTHON, IT LOOKS JUST LIKE THIS.
01:10:17   AND WE CAN ALSO RUN IT -- RUN IT IN THE COMMAND
01:10:22   LINE, SO I'LL DO THAT REALLY QUICK.
01:10:24   HOPEFULLY THIS WORKS, HOPEFULLY YOU CAN SEE THE
01:10:26   RIGHT MARKER.
01:10:26   SO THIS IS ACTUALLY THE POSITION DIFFERENCE
01:10:34   BETWEEN THIS MARKER AND THE -- OF THIS ROBOT AND
01:10:39   THAT'S A FUNCTION CALLED IN-PYTHON.
01:10:41   AND THAT'S IT.
01:10:42   PRETTY POWERFUL.
01:10:43   SO LAST LITTLE BIT HERE AND I WON'T SHOW ALL OF
01:10:49   THIS BUT JUST AS A TASTE OF WHAT'S AVAILABLE TO
01:10:51   YOU, THERE IS FINALLY A ROS PACKAGE CALLED "MOVE
01:10:54   IT."
01:10:55   WHAT THAT DOES IS REVERSE KINEMATIC SOLVER FOR
01:10:57   THIS.
01:10:57   SO IF I HAVE THIS POSITION RIGHT HERE AND I KNOW
01:11:00   WHAT MY ROBOT LOOKS LIKE AND WHERE THIS IS HERE,
01:11:02   THIS INVERSE KINEMATICS PACKAGE, THE HARD JOB OF
01:11:07   THE MATHEMATICS, IS GO FROM HERE TO HERE.
01:11:10   SO I RAN A LITTLE BIT LATE SO I HAVE TO WRAP UP
01:11:12   HERE BUT IF YOU GUYS ARE INTERESTED, COME TALK TO
01:11:14   ME.
01:11:15   THANK YOU.
01:11:43   [ BREAK ]
01:45:34



















