-00:00:02  >> GOOD AFTERNOON, EVERYBODY.
01:07:55   RETURN VALUE BECAUSE ALL THE RETURN VALUE NEEDS
01:07:57   IS THE RESULT ON THE STACK.
01:07:58   SO THIS IS JUST FOR READABILITY, YEAH.
01:08:02   AND THE INTERESTING THING THERE IS THAT MY
01:08:06   BINDING A NAME ANSWER TO THIS IS WHAT MAKES
01:08:08   PYTHON SAY, OKAY, PULL THIS OFF THE STACK AND PUT
01:08:10   IT INTO THE ENVIRONMENT.
01:08:11   AND THEN IMMEDIATELY RETRIEVE IT FROM THE
01:08:13   ENVIRONMENT AND RETURN IT.
01:08:14   SO THERE'S -- THIS IS SOMETHING I DIDN'T GET INTO
01:08:17   TOO MUCH ABOUT THE WAY THAT THE FRAME ALSO HAS TO
01:08:19   MANAGE THE NAME SPACE, WHAT IS CURRENTLY IN THE
01:08:21   LOCAL SCOPE AND THAT GETS MODIFIED AS YOU DO
01:08:25   THINGS LIKE STORE FAST AND LOAD.
01:08:29   >> AUDIENCE:  THANK YOU.
01:08:34   >> THANK YOU VERY MUCH, ALLISON.
01:08:35   [ Applause ]
01:08:56   [ BREAK ]
01:08:57   [ MUSIC PLAYING ]
01:16:47   [ MUSIC PLAYING ]
01:53:41
02:32:48















